 Intel Core i5-12400 ,,4.40 GHz
Intel Celeron 420,"1,6GHz",
Intel Celeron 430,"1,8GHz",
Intel Celeron 440,2GHz,
Intel Celeron 450,2GHz,
Intel Celeron E1200,"1,6GHz",
Intel Celeron E1400,2GHz,
Intel Celeron E1500,2GHz,
Intel Celeron G1610,6GHz,
Intel Celeron G1610T,3GHz,
Intel Celeron G1620,7GHz,
"Intel Celeron G4""1","9GHz""",
Intel Celeron G460,"1,8GHz",
Intel Celeron G530,4GHz,
Intel Celeron G530T,2GHz,
Intel Celeron G540,5GHz,
Intel Celeron G540T,1GHz,
Intel Celeron G550,6GHz,
Intel Celeron G550T,2GHz,
Intel Celeron G555,7GHz,
Intel Core i5-3320M,3.30 GHz,
Intel Core i5-3320M,3.30 GHz,2.60 GHz
Intel Core i5-3330,3.20 GHz,
Intel Core i5-3330,3.20 GHz,3.00 GHz
Intel Core i5-3330S,3.20 GHz,
Intel Core i5-3330S,3.20 GHz,2.70 GHz
Intel Core i5-3337U,2.70 GHz,
Intel Core i5-3337U,2.70 GHz,1.80 GHz
Intel Core i5-3339Y,2.00 GHz,
Intel Core i5-3339Y,2.00 GHz,1.50 GHz
Intel Core i5-3340,3.30 GHz,
Intel Core i5-3340,3.30 GHz,3.10 GHz
Intel Core i5-3340M,3.40 GHz,
Intel Core i5-3340M,3.40 GHz,2.70 GHz
Intel Core i5-3340S,3.30 GHz,
Intel Core i5-3340S,3.30 GHz,2.80 GHz
Intel Core i5-3350P,3.30 GHz,
Intel Core i5-3350P,3.30 GHz,3.10 GHz
Intel Core i5-3360M,3.50 GHz,
Intel Core i5-3360M,3.50 GHz,2.80 GHz
Intel Core i5-3380M,3.60 GHz,
Intel Core i5-3380M,3.60 GHz,2.90 GHz
Intel Core i5-3427U,2.80 GHz,
Intel Core i5-3427U,2.80 GHz,1.80 GHz
Intel Core i5-3437U,2.90 GHz,
Intel Core i5-3437U,2.90 GHz,1.90 GHz
Intel Core i5-3439Y,2.30 GHz,
Intel Core i5-3439Y,2.30 GHz,1.50 GHz
Intel Core i5-3450,3.50 GHz,
Intel Core i5-3450,3.50 GHz,3.10 GHz
Intel Core i5-3450S,3.50 GHz,
Intel Core i5-3450S,3.50 GHz,2.80 GHz
Intel Core i5-3470,3.60 GHz,
Intel Core i5-3470,3.60 GHz,3.20 GHz
Intel Core i5-3470S,3.60 GHz,
Intel Core i5-3470S,3.60 GHz,2.90 GHz
Intel Core i5-3470T,3.60 GHz,
Intel Core i5-3470T,3.60 GHz,2.90 GHz
Intel Core i5-3475S,3.60 GHz,
Intel Core i5-3475S,3.60 GHz,2.90 GHz
Intel Core i5-3550,3.70 GHz,
Intel Core i5-3550,3.70 GHz,3.30 GHz
Intel Core i5-3550S,3.70 GHz,
Intel Core i5-3550S,3.70 GHz,3.00 GHz
Intel Core i5-3570,3.80 GHz,
Intel Core i5-3570,3.80 GHz,3.40 GHz
Intel Core i5-3570K,3.80 GHz,
Intel Core i5-3570K,3.80 GHz,3.40 GHz
Intel Core i5-3570S,3.80 GHz,
Intel Core i5-3570S,3.80 GHz,3.10 GHz
Intel Core i5-3570T,3.30 GHz,
Intel Core i5-3570T,3.30 GHz,2.30 GHz
Intel Core i5-3610ME,3.30 GHz,
Intel Core i5-3610ME,3.30 GHz,2.70 GHz
Intel Core i5-4200H,3.40 GHz,2.80 GHz
Intel Core i5-4200M,3.10 GHz,2.50 GHz
Intel Core i5-4200U,2.60 GHz,1.60 GHz
Intel Core i5-4200Y,1.90 GHz,1.40 GHz
Intel Core i5-4202Y,2.00 GHz,1.60 GHz
Intel Core i5-4210H,3.50 GHz,2.90 GHz
Intel Core i5-4210M,3.20 GHz,2.60 GHz
Intel Core i5-4210U,2.70 GHz,1.70 GHz
Intel Core i5-4210Y,1.90 GHz,1.50 GHz
Intel Core i5-4220Y,2.00 GHz,1.60 GHz
Intel Core i5-4250U,2.60 GHz,1.30 GHz
Intel Core i5-4258U,2.90 GHz,2.40 GHz
Intel Core i5-4260U,2.70 GHz,1.40 GHz
Intel Core i5-4278U,3.10 GHz,2.60 GHz
Intel Core i5-4288U,3.10 GHz,2.60 GHz
Intel Core i5-4300M,3.30 GHz,2.60 GHz
Intel Core i5-4300U,2.90 GHz,1.90 GHz
Intel Core i5-4300Y,2.30 GHz,1.60 GHz
